FID,comuna,estado,area_m2,area_ha,estado_2,id,shapearea,layer,shape_leng,shape_area,clase,Shape__Area,Shape__Length
1,PUENTE ALTO,DESAFECTADA VERDE,241.711,0.0241712205141,BUEN,PA BUEN PL 1500,241.71134,BUEN,64.4643104536,241.709166947,PLAZA,349.138671875,77.4355707991114
2,PUENTE ALTO,DESAFECTADA VERDE,174.043,0.0174043529464,BUEN,PA BUEN PL 1501,174.04322,BUEN,70.1703239379,174.041572301,PLAZA,251.416015625,84.4575731343121
3,PUENTE ALTO,DESAFECTADA VERDE,158.316,0.0158315355795,BUEN,PA BUEN PL 1502,158.31628,BUEN,51.6874868683,158.314513762,PLAZA,228.6953125,62.1807070038007
4,PUENTE ALTO,DESAFECTADA VERDE,1275.719,0.127571838604,BUEN,PA BUEN BA 1503,1275.71946,BUEN,502.31635789,1275.70169761,BANDEJON,1842.876953125,605.046081087116
5,PUENTE ALTO,DESAFECTADA VERDE e,463.757,0.0463757228154,MAL,PA MAL VE 1504,463.75676,MAL,108.696296931,463.749161454,VEREDA,669.876953125,130.660046482104
6,PUENTE ALTO,DESAFECTADA VERDE,75.635,0.00756354294161,BUEN,PA BUEN BA 1505,75.6354,BUEN,44.0960576947,75.6350655751,BANDEJON,109.267578125,53.0849843854737
7,PUENTE ALTO,DESAFECTADA VERDE,203.438,0.0203438807886,BUEN,PA BUEN PL 1506,203.43823,BUEN,63.1802231499,203.435528554,PLAZA,293.921875,76.0274583261558
8,PUENTE ALTO,DESAFECTADA VERDE,153.887,0.015388652631,BUEN,PA BUEN PL 1507,153.88659,BUEN,54.8838387473,153.88303865,PLAZA,222.326171875,66.0443318116222
9,PUENTE ALTO,DESAFECTADA VERDE,884.144,0.0884142575113,BUEN,PA BUEN PL 1508,884.14437,BUEN,160.594687532,884.13063998,PLAZA,1277.326171875,192.742149166419
10,PUENTE ALTO,DESAFECTADA VERDE,341.991,0.0341991804163,BUEN,PA BUEN PL 1509,341.99073,BUEN,76.2940979782,341.986728929,PLAZA,494.076171875,91.6342055583069
11,PUENTE ALTO,DESAFECTADA VERDE,489.29,0.0489290242466,BUEN,PA BUEN PL 1510,489.29029,BUEN,89.4105201353,489.282573544,PLAZA,706.8828125,107.438633845143
12,PUENTE ALTO,DESAFECTADA VERDE,59.709,0.00597091795022,BUEN,PA BUEN PL 1511,59.70918,BUEN,31.8960794574,59.7085835712,PLAZA,86.263671875,38.3159504859553
13,PUENTE ALTO,DESAFECTADA VERDE,141.319,0.0141320540201,BUEN,PA BUEN PL 1512,141.31933,BUEN,56.3754857147,141.318756098,PLAZA,204.162109375,67.8505317933567
14,PUENTE ALTO,DESAFECTADA VERDE e,59.108,0.00591073187933,MAL,PA MAL PL 1513,59.10755,MAL,31.3888771782,59.1068139547,PLAZA,85.388671875,37.7066394294459
15,PUENTE ALTO,DESAFECTADA VERDE e,68.364,0.00683638122095,MAL,PA MAL BA 1514,68.36426,MAL,43.6135466683,68.3611870521,BANDEJON,98.755859375,52.3333618301847
16,PUENTE ALTO,DESAFECTADA VERDE e,145.385,0.0145384336748,MAL,PA MAL PL 1515,145.38482,MAL,59.5549555729,145.381548508,PLAZA,210.0234375,71.4732337998293
17,PUENTE ALTO,DESAFECTADA VERDE e,145.519,0.0145517905535,MAL,PA MAL PL 1516,145.5187,MAL,69.1824035277,145.515197253,PLAZA,210.2265625,83.2818135238494
18,PUENTE ALTO,DESAFECTADA VERDE e,290.053,0.0290053488416,MAL,PA MAL PL 1517,290.0531,MAL,78.6854577991,290.051684202,PLAZA,419.046875,94.6811620800078
19,PUENTE ALTO,DESAFECTADA VERDE e,1570.189,0.157019043931,MAL,PA MAL PL 1518,1570.18943,MAL,376.937672366,1570.16826582,PLAZA,2268.4921875,452.577936307042
20,PUENTE ALTO,DESAFECTADA VERDE e,80.668,0.00806680341262,MAL,PA MAL PL 1519,80.66816,MAL,77.543965519,80.6679305557,PLAZA,116.5390625,93.0834178701386
