comuna,area_m2
VITACURA,4580932.874
RECOLETA,2931406.341
MAIPU,2386040.415
RENCA,2382742.0730000003
LAS CONDES,2217623.138
PROVIDENCIA,2183374.757
SANTIAGO,1911596.473
LA REINA,1901404.9549999998
PENALOLEN,1900960.04
PUENTE ALTO,1837303.078
NUNOA,1414043.821
CERRILLOS,1348933.827
LA FLORIDA,1193536.06
HUECHURABA,844481.5549999999
ESTACION CENTRA,827654.53
LA GRANJA,811564.937
SAN BERNARDO,765839.989
LO BARNECHEA,642994.836
PUDAHUEL,559561.116
Pedro Aguirre Cerda,552654.3319999999
CONCHALI,499463.218
MACUL,494094.63800000004
QUILICURA,482694.624
LA PINTANA,460668.07899999997
SAN RAMON,418852.36
LA CISTERNA,398314.766
LO PRADO,357149.369
SAN JOAQUIN,355718.597
CERRO NAVIA,329702.741
EL BOSQUE,310391.13
LO ESPEJO,309277.197
QUINTA NORMAL,252517.533
SAN MIGUEL,214100.412
INDEPENDENCIA,173816.163
