COMUNA,AREA_m2
CERRILLOS,857319.9811449491
CERRO NAVIA,242091.340602307
CONCHALI,220209.463594626
EL BOSQUE,223257.004040191
ESTACION CENTRAL,362060.278641292
HUECHURABA,4946015.261787759
INDEPENDENCIA,178721.098128899
LA CISTERNA,91129.758157346
LA FLORIDA,737729.835333507
LA GRANJA,637569.7800428991
LA PINTANA,379479.998939896
LA REINA,925986.178231871
LAS CONDES,1525130.8865588258
LO BARNECHEA,282740.766475038
LO ESPEJO,156282.505836446
LO PRADO,225676.100160638
MACUL,245338.261769218
MAIPU,1094441.895145641
NUNOA,528014.534824004
PAC,257452.646823885
PENALOLEN,775583.441612645
PROVIDENCIA,5258407.991223361
PUDAHUEL,450492.37600174197
PUENTE ALTO,963807.679607116
QUILICURA,364729.518795762
QUINTA NORMAL,794650.501036364
RECOLETA,10179106.11411509
RENCA,268762.59398874
SAN BERNARDO,447522.639879471
SAN JOAQUIN,296334.938755718
SAN MIGUEL,217183.078710487
SAN RAMON,266501.353258689
SANTIAGO,1871477.698177335
VITACURA,5581160.482406099
