Nombre,Direccion
Jumbo Chamisero,"Av. Santa María 14.601, Colina, Región Metropolitana Mapa"
Jumbo Puertas de Chicureo,"Avendida Chicureo 130, Colina, Región Metropolitana Mapa"
Jumbo Independencia,"Av Independencia 565, Independencia, Región Metropolitana Mapa"
Jumbo La Florida ,"Avda. Vicuña Mackenna 6100, La Florida, Región Metropolitana Mapa"
Jumbo Bilbao,"Avda. Francisco Bilbao 4144, Las Condes, Región Metropolitana Mapa"
Jumbo Kennedy,"Avda. Kennedy 9001, Las Condes, Región Metropolitana Mapa"
Jumbo La Reina ,"Av. Francisco Bilbao 8750, Las Condes, Región Metropolitana Mapa"
Jumbo Los Dominicos ,"Avda. Camino el Alba 11.969, Las Condes, Región Metropolitana Mapa"
Jumbo La Dehesa ,"Av. La Dehesa 1445, Lo Barnechea, Región Metropolitana Mapa"
Jumbo Los Trapenses ,"Av. Camino Los Trapenses #3515, Lo Barnechea, Región Metropolitana Mapa"
Jumbo Maipú,"Av. Américo Vespucio 1001, Maipú, Región Metropolitana Mapa"
Jumbo Pajaritos,"Av. Pajaritos 3302, Maipú, Región Metropolitana Mapa"
Jumbo Ñuñoa,"Av. José Pedro Alessandri 1166, Ñuñoa, Región Metropolitana Mapa"
Jumbo Peñalolén,"Av. Sánchez Fontecilla 12.000, Peñalolén, Región Metropolitana Mapa"
Jumbo Costanera Center,"Avda. Andrés Bello 2465, Providencia, Región Metropolitana Mapa"
Jumbo Concha y Toro ,"Av. Concha y Toro 3854, Puente Alto, Región Metropolitana Mapa"
Jumbo Puente Alto (Plaza Puente),"Santo Domingo 67, Puente Alto, Región Metropolitana Mapa"
Jumbo San Bernardo,"Av. Portales 3698, San Bernardo, Región Metropolitana Mapa"
Jumbo El LLano ,"El Llano Subercaseaux 3519, San Miguel, Región Metropolitana Mapa"
Jumbo Lo Castillo ,"Eduardo Marquina 3412, Vitacura, Región Metropolitana Mapa"
